id,marca,categoria,nombre,descripcion,foto,precio_costo_usd,precio_costo_ars,precio_minorista,precio_mayorista,stock,en_stock,created_at,updated_at,tipo_seccion,es_caja
2,Casio,Metal Caballero,MTP-VD03D-2A,"Reloj clásico con malla de acero, resistente al
agua y con calendario.",/relojes/casio-metal-cab/p01_i000.jpg,29.00,43500.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
3,Casio,Metal Caballero,MTP-VD03D-7A,"Reloj clásico con malla de acero, resistente al
agua y con calendario.",/relojes/casio-metal-cab/p01_i001.jpg,29.00,43500.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
4,Casio,Metal Caballero,MTP-VD03D-2A2,"Reloj clásico con malla de acero,
resistente al agua y con calendario.",/relojes/casio-metal-cab/p01_i002.jpg,29.00,43500.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
5,Casio,Metal Caballero,MTP-VD02D-3A1,"Reloj clásico con malla de acero,
resistente al agua y con calendario.",/relojes/casio-metal-cab/p01_i003.jpg,0.00,0.00,0.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
6,Casio,Metal Caballero,MTP-V002D-7E,"Reloj clásico de caballero con caja de
44 mm, correa de acero inoxidable.",/relojes/casio-metal-cab/p02_i004.jpg,0.00,0.00,70000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
7,Casio,Metal Caballero,MTP-V002D-1E,"Reloj clásico de caballero con caja de
44 mm, correa de acero inoxidable.",/relojes/casio-metal-cab/p02_i005.jpg,0.00,0.00,0.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
8,Casio,Metal Caballero,MTP-V002D-2E,"Reloj clásico de caballero con caja de
44 mm, correa de acero inoxidable.",/relojes/casio-metal-cab/p02_i006.jpg,0.00,0.00,0.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
9,Casio,Metal Caballero,MTP-VD02G-9E,"Reloj clásico de caballero con caja
dorada de 48 mm, brazalete metálico
dorado y esfera negra con ventana de
fecha a las 6.",/relojes/casio-metal-cab/p03_i007.jpg,0.00,0.00,0.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
10,Casio,Metal Caballero,MTP-VD02G-1E,"Reloj clásico de caballero con caja
dorada de 48 mm, brazalete metálico
dorado y esfera negra con ventana de
fecha a las 6.",/relojes/casio-metal-cab/p03_i008.jpg,34.00,51000.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
11,Casio,Metal Caballero,MTP-1335D-2A,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",/relojes/casio-metal-cab/p04_i010.jpg,0.00,0.00,85000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
12,Casio,Metal Caballero,MTP-VD01D-1E2,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",/relojes/casio-metal-cab/p04_i011.jpg,0.00,0.00,85000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
13,Casio,Metal Caballero,MTP-VD01D-3E1,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",/relojes/casio-metal-cab/p04_i012.jpg,0.00,0.00,85000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
14,Casio,Metal Caballero,MTP-VD01D-3B,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",/relojes/casio-metal-cab/p04_i013.jpg,28.00,42000.00,85000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
15,Casio,Metal Caballero,MTP-VD01D-1C,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",/relojes/casio-metal-cab/p04_i010.jpg,28.00,42000.00,0.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
16,Casio,Metal Caballero,MTP-VD01D-2E,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",/relojes/casio-metal-cab/p04_i010.jpg,0.00,0.00,0.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
17,Casio,Metal Caballero,MTP-VD01D-1B,"Reloj clásico de caballero con caja de 49 mm, correa de
acero inoxidable con ventana de fecha.",/relojes/casio-metal-cab/p05_i014.jpg,0.00,0.00,85000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
18,Casio,Metal Caballero,MTP-VD01D-1E,"Reloj clásico de caballero con caja de 49 mm, correa de
acero inoxidable con ventana de fecha.",/relojes/casio-metal-cab/p05_i015.jpg,0.00,0.00,85000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
19,Casio,Metal Caballero,MTP-VD01D-7C,"Reloj clásico de caballero con caja de 49 mm, correa de
acero inoxidable con ventana de fecha.",/relojes/casio-metal-cab/p05_i016.jpg,28.00,42000.00,85000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
20,Casio,Metal Caballero,MTP-VT01D-7B,"Reloj clásico de caballero con
caja de 40 mm, brazalete de
acero inoxidable y esfera
blanca y negra minimalista.",/relojes/casio-metal-cab/p06_i017.jpg,28.00,42000.00,80000.00,55.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
21,Casio,Metal Caballero,MTP-VT01D-1B,"Reloj clásico de caballero con
caja de 40 mm, brazalete de
acero inoxidable y esfera
blanca y negra minimalista.",/relojes/casio-metal-cab/p06_i018.jpg,28.00,42000.00,80000.00,55.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
22,Casio,Metal Caballero,MTP-VT01G-7B,"Reloj clásico de caballero con caja dorada de 40 mm,
brazalete metálico dorado y esfera minimalista.",/relojes/casio-metal-cab/p07_i019.jpg,34.00,51000.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
23,Casio,Metal Caballero,MTP-VT01G-2B,"Reloj clásico de caballero con caja dorada de 40 mm,
brazalete metálico dorado y esfera minimalista.",/relojes/casio-metal-cab/p07_i020.jpg,34.00,51000.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
24,Casio,Metal Caballero,MTP-VT01G-1B,"Reloj clásico de caballero con caja dorada de 40 mm,
brazalete metálico dorado y esfera minimalista.",/relojes/casio-metal-cab/p07_i021.jpg,34.00,51000.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
25,Casio,Metal Caballero,MTP-V001D-1B,"Reloj clásico de caballero con
caja de 38 mm, brazalete
metálico y con números
arábigos plateados.",/relojes/casio-metal-cab/p08_i022.jpg,22.00,33000.00,70000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
26,Casio,Metal Caballero,MTP-V001D-7B,"Reloj clásico de caballero con
caja de 38 mm, brazalete
metálico y con números
arábigos plateados.",/relojes/casio-metal-cab/p08_i023.jpg,22.00,33000.00,70000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
27,Casio,Metal Caballero,MTP-1302D-7B,"Reloj clásico de caballero con
caja de 41 mm, brazalete
metálico y esfera blanca con
ventana de fecha.",/relojes/casio-metal-cab/p09_i024.jpg,32.00,48000.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
28,Casio,Metal Caballero,MTP-1302DS-1A,"Reloj clásico de caballero con
caja de 41 mm, brazalete
metálico y esfera negra con
ventana de fecha.",/relojes/casio-metal-cab/p09_i025.jpg,50.00,75000.00,85000.00,60.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
29,Casio,Metal Caballero,MTP-1335D-7A,"Reloj clásico de caballero con caja de 38 mm,
brazalete metálico, con ventana de día y fecha.",/relojes/casio-metal-cab/p10_i026.jpg,32.00,48000.00,90000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
30,Casio,Metal Caballero,MTP-1335D-1A,"Reloj clásico de caballero con caja de 38 mm,
brazalete metálico, con ventana de día y fecha.",/relojes/casio-metal-cab/p10_i027.jpg,32.00,48000.00,90000.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
31,Casio,Metal Caballero,MTP-1335D-2A,"Reloj clásico de caballero con caja de 38 mm,
brazalete metálico, con ventana de día y fecha.",/relojes/casio-metal-cab/p10_i028.jpg,0.00,0.00,0.00,0.00,0,true,2026-05-17 21:17:44.847354+00,2026-05-17 21:17:44.847354+00,pedido,false
